FamilyMembers,FanHoursPerDay,RefrigeratorHoursPerDay,AirConditionerHoursPerDay,TelevisionHoursPerDay,MonitorHoursPerDay,WashingMachineHoursPerWeek,LightingHoursPerDay,City,Month,TariffRateINRPerKWh,MonthlyConsumptionKWh,ElectricityBillINR
6,5.4,16.2,4.9,4.1,1.5,1.7,11.3,Hyderabad,7,8.2,406.5,3333.67
5,5.5,20.3,1.8,3.2,2.5,2.9,7.1,Lucknow,4,7.4,255.7,1892.32
6,8.1,19.8,8.0,3.7,5.7,2.0,8.6,Bengaluru,11,8.1,590.9,4785.95
6,7.8,24.0,2.7,1.9,2.5,4.4,9.3,Bengaluru,8,8.1,350.4,2837.88
2,4.0,16.6,6.1,6.0,2.4,1.9,5.0,Bengaluru,5,7.7,438.5,3376.17
1,8.1,20.7,9.5,2.7,2.0,3.4,10.7,Kolkata,7,7.5,582.0,4364.92
1,6.5,17.4,3.0,1.0,1.4,3.6,2.5,Ahmedabad,10,7.6,266.3,2023.94
6,2.4,14.8,0.2,3.4,2.5,3.9,7.0,Pune,3,8.2,165.5,1357.5
4,5.9,21.8,12.0,5.3,4.5,5.4,6.7,Hyderabad,7,7.9,707.6,5589.95
1,11.2,22.0,3.6,4.6,4.4,1.0,3.8,Hyderabad,11,8.2,360.6,2957.29
6,6.0,21.7,2.9,2.5,3.6,3.9,4.5,Lucknow,11,7.2,316.4,2278.03
1,2.4,16.1,5.7,7.0,5.4,3.9,4.8,Mumbai,8,8.9,412.8,3673.89
4,9.0,20.3,14.0,3.4,0.0,1.4,3.1,Delhi,5,7.6,782.3,5945.64
5,4.7,21.8,2.3,0.1,3.1,3.4,3.2,Jaipur,4,7.6,275.8,2096.19
6,7.5,22.9,1.5,4.7,1.6,2.4,5.4,Mumbai,8,8.9,272.9,2429.05
3,6.6,21.9,1.6,3.2,7.0,5.1,5.0,Ahmedabad,8,7.8,260.2,2029.24
3,11.4,22.9,5.6,3.4,2.5,2.1,4.7,Jaipur,3,7.4,443.9,3284.82
6,6.6,23.2,5.2,5.3,4.5,2.7,7.7,Hyderabad,6,8.2,440.0,3608.1
2,4.1,20.3,9.0,3.0,5.0,2.4,4.5,Ahmedabad,5,7.8,560.3,4369.98
5,5.8,21.5,2.6,2.9,2.3,1.7,6.5,Jaipur,2,7.5,302.8,2271.06
2,3.9,23.0,2.1,1.0,4.9,0.7,6.0,Lucknow,8,7.0,234.7,1642.76
3,6.5,21.2,1.9,2.4,5.1,1.8,5.4,Lucknow,12,7.0,284.1,1989.0
4,11.4,23.6,2.7,4.0,4.6,3.2,3.3,Chennai,6,8.4,339.5,2851.78
6,10.1,22.6,2.3,2.3,2.0,3.4,5.7,Pune,2,7.8,308.4,2405.41
1,12.1,18.1,6.1,0.2,0.1,4.2,4.7,Lucknow,12,7.2,448.3,3227.91
3,8.2,16.1,4.6,4.8,7.3,4.6,7.9,Hyderabad,5,7.9,367.3,2901.58
5,7.4,20.1,3.1,4.9,2.4,3.6,7.3,Delhi,1,7.5,308.4,2312.73
3,4.5,16.5,1.2,4.9,5.0,4.2,4.8,Bengaluru,12,8.1,199.9,1619.2
5,7.7,20.2,1.3,1.6,2.1,3.8,4.2,Chennai,10,8.3,244.3,2027.48
5,6.7,20.0,6.7,3.5,7.2,1.3,4.2,Bengaluru,6,8.1,493.2,3994.76
6,8.9,23.9,2.8,4.0,2.0,3.6,5.5,Pune,12,7.8,343.8,2681.35
5,4.2,21.5,8.9,4.7,3.2,3.0,8.1,Jaipur,9,7.6,620.6,4716.9
2,7.1,22.9,1.0,4.7,7.6,2.2,8.4,Kolkata,1,7.5,224.0,1679.99
4,3.1,18.5,10.6,0.7,0.0,3.0,2.0,Lucknow,11,7.4,588.4,4354.19
3,7.8,24.0,1.1,6.9,5.4,3.5,9.0,Delhi,11,7.5,263.5,1976.24
4,8.7,22.7,4.0,1.1,2.9,2.7,5.8,Pune,10,8.1,381.3,3088.63
1,2.9,21.3,0.3,0.2,4.4,4.5,3.2,Bengaluru,12,8.0,173.2,1385.41
3,3.7,14.6,3.0,0.0,2.3,3.5,5.9,Chennai,12,8.4,302.6,2541.96
4,3.8,23.5,1.6,4.9,6.3,4.3,4.3,Lucknow,3,7.4,259.9,1923.44
4,6.6,24.0,2.9,6.4,1.4,4.9,9.3,Hyderabad,12,8.2,351.9,2885.73
6,3.5,20.0,2.9,2.2,3.1,2.4,4.8,Lucknow,7,7.0,316.5,2215.62
6,10.4,20.1,1.6,0.0,4.9,2.3,4.1,Chennai,4,8.1,275.7,2232.82
1,8.1,18.4,1.3,5.2,1.4,4.7,10.2,Chennai,9,8.3,233.4,1937.34
5,8.5,15.1,4.7,0.9,3.3,1.8,6.8,Kolkata,3,7.9,349.2,2758.74
3,3.0,18.3,4.0,4.7,0.9,2.9,5.0,Lucknow,5,7.2,349.2,2514.47
6,10.2,24.0,2.3,1.7,2.2,2.3,9.7,Lucknow,3,7.3,318.7,2326.69
3,8.6,23.2,2.9,2.6,8.2,1.5,8.6,Kolkata,7,7.9,346.0,2733.75
1,5.3,17.7,3.8,4.1,5.7,3.7,4.8,Ahmedabad,5,7.6,352.5,2679.03
6,3.1,18.3,1.2,4.2,4.3,2.6,4.4,Ahmedabad,9,7.4,228.2,1688.38
6,6.8,24.0,0.3,3.7,3.7,1.6,6.2,Jaipur,7,7.5,209.7,1572.92
5,5.8,16.9,1.7,6.4,0.0,4.4,5.7,Ahmedabad,2,7.7,255.7,1969.07
3,5.9,17.9,9.7,6.9,2.6,1.0,4.6,Mumbai,4,8.9,611.2,5439.85
3,5.2,18.7,6.6,7.1,4.8,2.8,6.0,Lucknow,9,7.2,474.0,3412.63
3,8.8,15.9,6.1,3.1,2.1,4.3,9.5,Delhi,12,7.6,424.6,3226.69
5,1.0,18.4,4.8,3.7,3.7,4.4,8.1,Lucknow,2,7.0,394.2,2759.34
6,10.6,18.4,11.4,6.3,1.0,3.6,6.8,Mumbai,10,8.9,738.5,6572.92
1,9.5,17.3,4.7,2.2,0.8,1.7,5.3,Mumbai,9,8.8,335.6,2953.4
3,7.5,24.0,3.1,2.6,7.6,3.2,5.7,Bengaluru,10,7.9,347.6,2745.95
4,6.6,16.5,0.8,3.5,7.3,3.5,7.4,Lucknow,5,7.3,222.2,1621.72
5,9.7,19.6,3.6,3.5,2.8,2.3,7.2,Pune,2,8.1,383.1,3102.77
2,6.9,17.4,2.9,2.9,1.4,3.6,6.1,Mumbai,4,8.8,290.2,2553.43
1,6.3,19.4,2.9,1.6,1.1,0.8,8.2,Delhi,12,7.3,305.2,2228.13
4,9.8,17.2,6.6,5.2,3.8,0.4,3.7,Kolkata,12,7.5,485.9,3643.95
3,12.2,20.2,5.1,2.7,6.9,2.0,8.0,Jaipur,7,7.5,446.1,3345.59
2,4.6,21.0,4.6,3.8,1.6,4.0,7.2,Bengaluru,12,8.0,366.2,2929.42
1,8.1,24.0,2.3,3.5,3.4,4.3,3.1,Kolkata,8,7.8,326.1,2543.45
5,4.3,18.2,4.1,4.9,3.3,1.1,4.7,Bengaluru,3,7.9,354.0,2796.27
2,8.3,24.0,12.0,4.4,6.3,5.2,9.0,Delhi,1,7.7,762.4,5870.31
6,5.1,17.6,9.4,3.0,3.6,3.1,7.1,Chennai,4,8.5,597.8,5081.09
2,10.0,19.3,1.9,2.7,0.2,0.7,5.8,Lucknow,2,7.2,264.0,1901.01
4,6.7,24.0,3.2,3.3,4.5,3.5,6.7,Hyderabad,8,8.2,378.4,3103.01
1,7.1,24.0,5.1,1.3,3.3,4.9,6.0,Pune,4,8.2,428.5,3513.92
4,11.1,24.0,2.8,1.9,1.3,2.3,6.7,Kolkata,2,7.7,319.1,2457.1
4,5.2,19.3,14.0,4.6,5.1,4.5,7.9,Lucknow,6,7.2,882.0,6350.72
3,8.7,21.5,4.1,4.1,2.4,5.2,9.6,Pune,6,7.8,361.5,2819.44
5,5.4,22.0,3.8,1.6,3.7,3.1,4.0,Chennai,10,8.3,342.9,2846.25
2,10.0,21.0,8.5,3.3,3.3,1.9,8.3,Hyderabad,4,8.2,532.1,4363.07
1,11.5,17.0,3.8,0.4,2.4,4.8,5.3,Pune,6,7.8,325.3,2537.73
6,6.3,20.7,1.1,3.8,1.4,4.8,3.5,Pune,2,8.2,246.6,2022.16
5,1.5,18.5,1.7,2.8,4.1,1.1,8.6,Kolkata,10,7.7,240.8,1853.97
5,5.3,17.1,1.7,7.7,0.6,2.8,4.6,Ahmedabad,12,7.4,248.1,1836.15
1,13.1,19.1,2.9,4.7,4.9,4.1,8.0,Hyderabad,2,8.1,329.4,2668.32
5,5.5,20.9,3.5,1.6,1.3,4.2,8.2,Lucknow,10,7.2,337.7,2431.53
3,11.4,23.0,1.1,1.6,0.7,2.6,9.9,Chennai,4,8.1,231.4,1873.96
5,5.5,19.2,8.2,4.8,5.8,1.6,8.5,Hyderabad,8,8.3,517.0,4291.07
3,5.4,19.8,2.9,5.3,3.2,5.4,8.6,Delhi,7,7.5,337.7,2532.54
2,8.9,22.4,4.1,7.2,0.0,3.1,8.4,Ahmedabad,12,7.7,370.1,2849.8
2,8.6,20.2,2.3,5.8,3.0,2.7,6.5,Delhi,9,7.7,278.8,2146.89
4,9.1,21.1,3.9,4.5,4.2,2.1,8.7,Chennai,8,8.5,351.6,2988.8
3,7.0,20.2,3.5,6.3,4.3,2.7,5.5,Kolkata,5,7.7,344.0,2648.48
6,9.6,20.6,2.4,3.6,1.5,0.6,4.8,Kolkata,2,7.9,301.8,2383.84
2,9.4,16.8,1.0,3.6,1.7,4.5,7.2,Chennai,5,8.1,207.6,1681.74
5,9.9,20.4,4.3,1.1,3.3,2.6,8.5,Bengaluru,8,7.7,388.6,2992.05
1,5.4,24.0,1.6,6.5,5.1,0.0,5.7,Chennai,10,8.5,240.2,2041.94
1,9.6,20.5,1.2,3.8,0.4,1.5,5.2,Ahmedabad,9,7.6,223.7,1699.9
3,5.7,17.5,1.9,3.3,0.5,4.4,3.1,Mumbai,12,8.9,234.3,2085.5
6,6.6,24.0,1.6,1.9,5.7,2.8,4.4,Kolkata,12,7.7,258.3,1988.64
4,6.6,22.2,0.3,6.0,5.4,1.8,4.6,Jaipur,12,7.4,198.5,1469.17
5,4.5,22.3,7.1,5.5,1.1,3.2,8.5,Ahmedabad,9,7.6,497.4,3780.25
3,2.7,22.2,5.6,1.7,2.2,2.6,5.2,Ahmedabad,1,7.8,396.1,3089.72
1,10.1,16.6,2.5,4.5,7.2,3.2,7.0,Ahmedabad,9,7.8,295.8,2307.29
3,5.2,21.9,4.9,5.1,4.8,3.5,3.0,Pune,7,8.0,416.7,3333.95
5,6.3,24.0,5.1,1.0,2.9,1.8,8.6,Ahmedabad,9,7.7,430.9,3317.93
6,5.2,18.6,2.1,4.8,5.3,2.1,6.5,Kolkata,8,7.7,288.5,2221.57
6,6.4,14.2,7.2,4.4,2.0,1.9,3.3,Mumbai,1,8.9,447.0,3978.49
2,5.7,21.1,1.3,4.7,3.3,1.9,5.0,Mumbai,12,8.8,239.1,2104.21
5,10.2,20.1,1.1,7.5,2.4,2.1,4.4,Ahmedabad,8,7.7,257.1,1979.78
2,5.5,15.4,6.5,9.4,4.4,2.6,6.5,Delhi,8,7.5,471.0,3532.59
2,11.3,21.8,3.7,6.0,4.4,2.1,5.3,Kolkata,11,7.5,365.5,2741.44
2,9.8,21.6,1.6,4.0,3.4,3.2,5.4,Kolkata,3,7.9,250.9,1981.9
3,5.8,15.6,3.0,4.8,4.0,2.5,4.3,Hyderabad,1,8.1,298.1,2414.98
1,7.8,24.0,2.8,4.4,5.3,1.9,3.5,Lucknow,8,7.4,312.3,2310.68
6,8.3,22.3,2.6,8.2,3.9,0.1,7.6,Bengaluru,3,7.9,345.6,2730.61
3,9.1,14.3,1.5,3.8,3.5,1.6,8.0,Bengaluru,3,8.1,232.1,1880.03
1,9.4,22.5,1.5,2.7,3.9,2.5,4.7,Delhi,1,7.3,249.2,1818.96
6,7.5,22.4,5.8,4.6,5.4,4.4,7.0,Bengaluru,11,8.1,467.8,3789.37
5,4.6,24.0,3.2,7.7,1.2,2.9,4.2,Hyderabad,5,7.9,345.6,2730.21
6,8.6,18.1,6.1,1.6,3.8,0.7,7.6,Chennai,10,8.5,449.3,3819.34
6,6.4,22.5,0.6,2.2,0.0,3.1,5.7,Bengaluru,7,7.9,214.8,1696.79
6,1.0,19.3,5.2,2.0,2.4,2.3,4.5,Kolkata,10,7.8,374.1,2918.36
4,8.0,18.3,1.2,1.1,6.8,3.9,4.0,Chennai,9,8.5,232.9,1979.47
5,5.2,17.4,9.7,1.6,1.4,0.8,8.2,Bengaluru,12,7.7,600.6,4624.85
3,5.9,14.3,4.5,5.4,0.0,4.8,3.2,Kolkata,7,7.5,332.7,2495.16
3,7.0,21.6,1.3,3.9,1.1,3.7,5.8,Kolkata,9,7.9,244.7,1933.28
1,3.1,19.2,5.2,0.9,4.4,2.7,2.2,Ahmedabad,8,7.4,378.8,2802.85
3,7.3,12.0,1.0,4.9,2.7,0.7,4.1,Mumbai,12,8.6,175.0,1504.66
2,6.2,20.2,2.6,4.2,1.0,0.8,3.5,Delhi,2,7.3,286.8,2093.54
6,4.8,23.5,0.4,5.4,5.4,4.0,2.0,Hyderabad,1,7.9,237.9,1879.31
3,7.1,16.1,0.7,2.3,3.9,4.2,4.9,Pune,7,8.2,186.4,1528.15
1,2.8,17.9,1.9,1.0,0.7,4.6,5.3,Lucknow,7,7.2,227.7,1639.22
1,7.2,21.3,5.9,4.9,2.6,5.5,3.7,Bengaluru,8,7.9,471.6,3725.76
2,8.2,12.3,1.0,5.2,7.3,4.1,4.8,Bengaluru,5,7.7,180.6,1390.44
1,7.8,18.4,5.9,1.3,2.4,3.6,5.5,Chennai,3,8.4,455.6,3827.44
4,9.0,21.0,0.5,4.0,0.0,6.6,2.2,Chennai,12,8.5,210.6,1790.04
6,9.9,18.3,5.8,2.3,3.9,2.2,6.1,Lucknow,8,7.4,463.8,3431.81
6,6.8,16.1,2.8,5.4,3.8,2.8,7.2,Bengaluru,6,8.0,284.5,2275.7
6,9.7,16.2,1.5,4.8,5.7,0.7,6.6,Jaipur,11,7.6,235.9,1792.72
5,6.8,15.2,7.7,5.9,2.2,3.9,6.6,Hyderabad,3,8.2,495.9,4066.08
3,5.3,18.1,12.0,1.8,3.9,2.7,5.7,Bengaluru,1,7.9,667.8,5275.51
4,6.0,23.2,2.7,2.1,3.5,2.1,6.7,Mumbai,3,8.8,277.0,2437.74
3,7.7,24.0,5.6,2.8,3.0,2.1,8.1,Lucknow,5,7.2,424.8,3058.73
4,9.7,20.1,2.0,2.4,3.6,1.8,11.0,Jaipur,3,7.4,273.4,2023.45
3,7.0,22.3,6.8,4.2,4.2,2.7,3.9,Hyderabad,1,7.9,461.1,3642.7
2,5.3,17.2,5.9,1.3,4.1,0.8,4.3,Bengaluru,5,7.7,437.3,3367.21
1,10.6,13.7,4.6,6.5,4.8,1.0,4.1,Pune,10,8.2,374.8,3073.35
1,3.4,24.0,2.9,7.0,0.0,1.3,8.5,Ahmedabad,7,7.7,303.3,2335.48
2,5.3,18.2,3.9,5.7,0.0,2.1,9.1,Mumbai,7,8.9,349.3,3108.71
4,9.2,22.2,2.9,4.5,3.4,2.3,7.5,Pune,11,7.8,336.4,2623.97
5,11.4,20.5,2.7,3.3,3.2,0.0,3.3,Chennai,9,8.4,285.8,2400.6
4,8.2,23.0,5.8,3.9,1.0,2.2,5.4,Chennai,10,8.3,459.9,3817.18
1,7.6,22.9,4.4,2.0,2.3,1.7,6.7,Bengaluru,10,8.0,369.6,2956.52
5,6.3,20.8,2.0,3.8,1.3,4.2,6.7,Chennai,12,8.3,285.3,2367.72
3,8.4,21.2,5.8,4.2,4.2,1.7,9.9,Mumbai,3,9.0,433.3,3899.61
5,7.3,23.6,4.2,1.8,1.2,4.5,8.1,Hyderabad,7,8.2,397.7,3261.04
4,5.1,18.8,4.1,6.7,3.4,5.6,8.0,Kolkata,1,7.7,393.8,3032.08
2,6.2,24.0,3.8,3.3,5.1,4.8,5.2,Delhi,4,7.7,372.0,2864.74
3,4.8,17.9,1.4,1.4,1.3,1.5,6.8,Lucknow,4,7.4,198.6,1469.39
4,7.0,20.2,7.4,3.1,0.3,3.8,2.7,Hyderabad,5,8.3,558.2,4632.93
3,7.4,21.9,7.3,2.3,1.5,1.6,6.2,Kolkata,7,7.8,518.6,4044.96
5,11.1,15.1,1.6,1.8,1.3,1.8,6.4,Jaipur,7,7.4,230.1,1702.43
1,5.5,24.0,2.1,6.6,3.1,1.9,3.5,Mumbai,11,8.6,291.3,2505.5
4,6.5,21.4,2.1,3.5,0.0,3.2,5.4,Pune,4,7.8,301.0,2347.61
2,10.1,24.0,0.8,5.6,6.2,1.7,8.9,Kolkata,7,7.7,235.1,1810.47
5,11.5,24.0,8.9,4.3,0.5,3.1,5.9,Mumbai,11,9.0,642.5,5782.85
4,8.2,20.0,2.1,4.5,0.3,4.9,7.2,Ahmedabad,3,7.4,279.5,2068.07
2,6.4,24.0,7.7,3.5,3.1,1.3,10.8,Pune,6,8.1,534.9,4332.75
4,5.8,22.5,6.5,2.6,2.8,0.6,5.1,Chennai,12,8.5,468.1,3978.73
5,2.4,20.7,1.3,6.1,5.7,2.0,7.7,Chennai,2,8.1,226.8,1836.72
4,4.7,15.0,8.2,4.8,2.5,5.1,5.6,Pune,10,8.0,542.4,4339.16
3,7.3,15.7,2.3,3.1,2.4,4.0,8.2,Jaipur,9,7.2,237.3,1708.45
5,6.5,20.0,7.1,5.5,4.3,1.7,5.9,Jaipur,5,7.5,498.7,3740.37
4,8.6,18.5,8.9,6.5,4.9,1.4,8.1,Jaipur,6,7.4,579.2,4286.15
1,6.5,20.7,2.1,4.2,0.0,3.5,8.7,Kolkata,12,7.5,260.8,1956.1
4,5.2,24.0,1.2,6.6,3.1,3.1,5.6,Lucknow,12,7.0,234.5,1641.54
3,7.9,22.6,1.7,2.5,7.3,3.9,8.1,Kolkata,12,7.5,292.8,2195.92
2,13.3,17.9,5.7,1.7,1.8,1.3,2.6,Bengaluru,12,8.1,380.5,3082.1
2,6.2,22.8,12.9,2.8,3.3,2.9,6.3,Delhi,4,7.7,734.0,5651.69
